iter	Logloss
0	0.6522438727
1	0.6149294073
2	0.5837424179
3	0.5548535825
4	0.530064345
5	0.5073991623
6	0.4881147991
7	0.471389937
8	0.456611617
9	0.4431379255
10	0.4310432956
11	0.4206722157
12	0.4115738785
13	0.4032161978
14	0.3958200041
15	0.3894313107
16	0.3835228706
17	0.378410184
18	0.3739650423
19	0.369838605
20	0.3663613588
21	0.3628261621
22	0.3594991138
23	0.3566865442
24	0.3541008545
25	0.3517886021
26	0.3495744313
27	0.3475806823
28	0.3455729031
29	0.3438415461
30	0.3424210904
31	0.3410196421
32	0.3398261653
33	0.3388710187
34	0.3380252446
35	0.33696172
36	0.3359124413
37	0.3351729258
38	0.3342200799
39	0.3335000655
40	0.3327081069
41	0.3318638512
42	0.3312352814
43	0.3305691506
44	0.3300372762
45	0.3295134177
46	0.328890304
47	0.3283423418
48	0.3279781846
49	0.3275011054
50	0.3270424345
51	0.3266832548
52	0.3263671838
53	0.325948952
54	0.3256454252
55	0.3253542777
56	0.3250596926
57	0.324710308
58	0.3244188736
59	0.3241579553
60	0.3239463388
61	0.3236319362
62	0.3232418235
63	0.323019726
64	0.3227218204
65	0.3224199492
66	0.3221601656
67	0.3219510917
68	0.3217400789
69	0.3214914288
70	0.3211865375
71	0.3209754003
72	0.3208046455
73	0.3206828728
74	0.3204807506
75	0.320300684
76	0.3202090384
77	0.3200734086
78	0.3198734167
79	0.3197256009
80	0.3196078737
81	0.3193823745
82	0.3192732537
83	0.3191339284
84	0.3189575107
85	0.3188078018
86	0.3187063276
87	0.3185492382
88	0.3184317982
89	0.318295844
90	0.318182694
91	0.3180799338
92	0.3179986383
93	0.3179499202
94	0.3178634593
95	0.317779372
96	0.3176909778
97	0.3176273953
98	0.3175503459
99	0.3174614038
100	0.3173529902
101	0.3172768164
102	0.3172082146
103	0.3170967372
104	0.3170420329
105	0.316971359
106	0.3169053026
107	0.3168592923
108	0.3167111212
109	0.3166455568
110	0.3165620792
111	0.3164792721
112	0.3163990462
113	0.3163076746
114	0.316239532
115	0.3161796345
116	0.3161248591
117	0.3160220093
118	0.3159336603
