iter	Passed	Remaining
0	51	51792
1	106	52963
2	166	55197
3	209	52080
4	256	50946
5	292	48458
6	326	46378
7	366	45476
8	423	46605
9	474	46962
10	520	46765
11	568	46812
12	619	47005
13	670	47208
14	724	47563
15	766	47110
16	814	47125
17	866	47274
18	919	47457
19	961	47130
20	1023	47733
21	1076	47865
22	1124	47769
23	1178	47925
24	1225	47786
25	1263	47335
26	1301	46884
27	1335	46372
28	1371	45916
29	1418	45848
30	1455	45488
31	1490	45092
32	1527	44748
33	1558	44280
34	1592	43898
35	1623	43466
36	1659	43200
37	1698	42989
38	1730	42643
39	1766	42396
40	1800	42120
41	1836	41878
42	1870	41634
43	1910	41503
44	1949	41366
45	1980	41076
46	2013	40831
47	2045	40567
48	2081	40393
49	2115	40185
50	2152	40059
51	2187	39879
52	2220	39680
53	2260	39592
54	2291	39378
55	2325	39198
56	2368	39181
57	2397	38936
58	2429	38753
59	2468	38666
60	2514	38704
61	2573	38940
62	2685	39940
63	2755	40295
64	2790	40138
65	2828	40025
66	2860	39834
67	2892	39649
68	2928	39508
69	2958	39311
70	2990	39131
71	3023	38965
72	3054	38792
73	3088	38643
74	3122	38507
75	3154	38354
76	3185	38181
77	3220	38069
78	3255	37958
79	3284	37776
80	3318	37649
81	3355	37564
82	3388	37440
83	3425	37356
84	3478	37448
85	3548	37711
86	3620	37990
87	3712	38473
88	3797	38868
89	3839	38821
90	3876	38718
91	3909	38586
92	3946	38488
93	3982	38388
94	4015	38251
95	4054	38181
96	4089	38071
97	4122	37940
98	4156	37824
99	4195	37760
100	4232	37669
101	4275	37639
102	4328	37698
103	4371	37659
104	4410	37593
105	4444	37481
106	4481	37401
107	4522	37354
108	4557	37253
109	4587	37116
110	4628	37072
111	4660	36950
112	4693	36839
113	4729	36758
114	4766	36683
115	4802	36598
116	4836	36497
117	4867	36381
118	4901	36290
119	4936	36202
120	4968	36090
121	5003	36007
122	5038	35922
123	5071	35829
124	5107	35749
125	5144	35685
126	5179	35601
127	5211	35504
128	5256	35491
129	5299	35465
130	5336	35399
131	5384	35409
132	5455	35564
133	5508	35596
134	5593	35839
135	5744	36491
136	5893	37127
137	6093	38059
138	6256	38753
139	6341	38952
140	6550	39909
141	6759	40842
